"","year","state","month","number","date"
"246",2004,"Alagoas","January",9,2004-01-01
"247",2005,"Alagoas","January",83,2005-01-01
"248",2006,"Alagoas","January",29,2006-01-01
"249",2007,"Alagoas","January",33,2007-01-01
"250",2008,"Alagoas","January",55,2008-01-01
"251",2009,"Alagoas","January",104,2009-01-01
"252",2010,"Alagoas","January",23,2010-01-01
"253",2011,"Alagoas","January",41,2011-01-01
"254",2012,"Alagoas","January",36,2012-01-01
"255",2013,"Alagoas","January",49,2013-01-01
"256",2014,"Alagoas","January",54,2014-01-01
"257",2015,"Alagoas","January",81,2015-01-01
"258",2016,"Alagoas","January",24,2016-01-01
"259",2017,"Alagoas","January",38,2017-01-01
"260",2017,"Alagoas","January",38,2017-01-01
"261",1998,"Alagoas","February",0,1998-01-01
"262",1999,"Alagoas","February",20,1999-01-01
"263",2000,"Alagoas","February",16,2000-01-01
"264",2001,"Alagoas","February",4,2001-01-01
"265",2002,"Alagoas","February",15,2002-01-01
"266",2003,"Alagoas","February",33,2003-01-01
"267",2004,"Alagoas","February",7,2004-01-01
"268",2005,"Alagoas","February",31,2005-01-01
"269",2006,"Alagoas","February",14,2006-01-01
"270",2007,"Alagoas","February",28,2007-01-01
"271",2008,"Alagoas","February",74,2008-01-01
"272",2009,"Alagoas","February",32,2009-01-01
"273",2010,"Alagoas","February",26,2010-01-01
"274",2011,"Alagoas","February",33,2011-01-01
"275",2012,"Alagoas","February",41,2012-01-01
"276",2013,"Alagoas","February",19,2013-01-01
"277",2014,"Alagoas","February",29,2014-01-01
"278",2015,"Alagoas","February",46,2015-01-01
"279",2016,"Alagoas","February",14,2016-01-01
"280",2017,"Alagoas","February",21,2017-01-01
"281",1998,"Alagoas","March",0,1998-01-01
"282",1999,"Alagoas","March",52,1999-01-01
"283",2000,"Alagoas","March",32,2000-01-01
"284",2001,"Alagoas","March",0,2001-01-01
"285",2002,"Alagoas","March",27,2002-01-01
"286",2003,"Alagoas","March",15,2003-01-01
"287",2004,"Alagoas","March",16,2004-01-01
"288",2005,"Alagoas","March",35,2005-01-01
"289",2006,"Alagoas","March",37,2006-01-01
"290",2007,"Alagoas","March",7,2007-01-01
"291",2008,"Alagoas","March",31,2008-01-01
"292",2009,"Alagoas","March",31,2009-01-01
"293",2010,"Alagoas","March",70,2010-01-01
"294",2011,"Alagoas","March",34,2011-01-01
"295",2012,"Alagoas","March",44,2012-01-01
"296",2013,"Alagoas","March",31,2013-01-01
"297",2014,"Alagoas","March",28,2014-01-01
"298",2015,"Alagoas","March",32,2015-01-01
"299",2016,"Alagoas","March",9,2016-01-01
"300",2017,"Alagoas","March",23,2017-01-01
"301",1998,"Alagoas","April",0,1998-01-01
"302",1999,"Alagoas","April",4,1999-01-01
"303",2000,"Alagoas","April",20,2000-01-01
"304",2001,"Alagoas","April",0,2001-01-01
"305",2002,"Alagoas","April",6,2002-01-01
"306",2003,"Alagoas","April",20,2003-01-01
"307",2004,"Alagoas","April",6,2004-01-01
"308",2005,"Alagoas","April",1,2005-01-01
"309",2006,"Alagoas","April",2,2006-01-01
"310",2007,"Alagoas","April",1,2007-01-01
"311",2008,"Alagoas","April",18,2008-01-01
"312",2009,"Alagoas","April",5,2009-01-01
"313",2010,"Alagoas","April",3,2010-01-01
"314",2011,"Alagoas","April",17,2011-01-01
"315",2012,"Alagoas","April",18,2012-01-01
"316",2013,"Alagoas","April",25,2013-01-01
"317",2014,"Alagoas","April",16,2014-01-01
"318",2015,"Alagoas","April",63,2015-01-01
"319",2016,"Alagoas","April",13,2016-01-01
"320",2017,"Alagoas","April",7,2017-01-01
"321",1998,"Alagoas","May",0,1998-01-01
"322",1999,"Alagoas","May",1,1999-01-01
"323",2000,"Alagoas","May",1,2000-01-01
"324",2001,"Alagoas","May",2,2001-01-01
"325",2002,"Alagoas","May",1,2002-01-01
"326",2003,"Alagoas","May",1,2003-01-01
