"","year","state","month","number","date"
"5159",2016,"Rondonia","July",969,2016-01-01
"5160",2017,"Rondonia","July",1.28,2017-01-01
"5161",1998,"Rondonia","August",2.254,1998-01-01
"5162",1999,"Rondonia","August",1.976,1999-01-01
"5163",2000,"Rondonia","August",2.197,2000-01-01
"5164",2001,"Rondonia","August",2.132,2001-01-01
"5165",2002,"Rondonia","August",3.465,2002-01-01
"5166",2003,"Rondonia","August",7.06,2003-01-01
"5167",2004,"Rondonia","August",6.893,2004-01-01
"5168",2005,"Rondonia","August",6.672,2005-01-01
"5169",2006,"Rondonia","August",3.124,2006-01-01
"5170",2007,"Rondonia","August",4.786,2007-01-01
"5171",2008,"Rondonia","August",1.251,2008-01-01
"5172",2009,"Rondonia","August",484,2009-01-01
"5173",2010,"Rondonia","August",4.388,2010-01-01
"5174",2011,"Rondonia","August",1.161,2011-01-01
"5175",2012,"Rondonia","August",2.209,2012-01-01
"5176",2013,"Rondonia","August",885,2013-01-01
"5177",2014,"Rondonia","August",3.038,2014-01-01
"5178",2015,"Rondonia","August",3.762,2015-01-01
"5179",2016,"Rondonia","August",3.675,2016-01-01
"5180",2017,"Rondonia","August",4.287,2017-01-01
"5181",1998,"Rondonia","September",3.753,1998-01-01
"5182",1999,"Rondonia","September",3.062,1999-01-01
"5183",2000,"Rondonia","September",2.438,2000-01-01
"5184",2001,"Rondonia","September",1.927,2001-01-01
"5185",2002,"Rondonia","September",7.067,2002-01-01
"5186",2003,"Rondonia","September",6.89,2003-01-01
"5187",2004,"Rondonia","September",13.05,2004-01-01
"5188",2005,"Rondonia","September",13.972,2005-01-01
"5189",2006,"Rondonia","September",9.92,2006-01-01
"5190",2007,"Rondonia","September",6.832,2007-01-01
"5191",2008,"Rondonia","September",3.726,2008-01-01
"5192",2009,"Rondonia","September",1.869,2009-01-01
"5193",2010,"Rondonia","September",4.893,2010-01-01
"5194",2011,"Rondonia","September",1.782,2011-01-01
"5195",2012,"Rondonia","September",2.471,2012-01-01
"5196",2013,"Rondonia","September",1.776,2013-01-01
"5197",2014,"Rondonia","September",2.8,2014-01-01
"5198",2015,"Rondonia","September",6.129,2015-01-01
"5199",2016,"Rondonia","September",4.208,2016-01-01
"5200",2017,"Rondonia","September",5.638,2017-01-01
"5201",1998,"Rondonia","October",483,1998-01-01
"5202",1999,"Rondonia","October",1.884,1999-01-01
"5203",2000,"Rondonia","October",644,2000-01-01
"5204",2001,"Rondonia","October",796,2001-01-01
"5205",2002,"Rondonia","October",3.554,2002-01-01
"5206",2003,"Rondonia","October",4.962,2003-01-01
"5207",2004,"Rondonia","October",3.094,2004-01-01
"5208",2005,"Rondonia","October",2.559,2005-01-01
"5209",2006,"Rondonia","October",1.148,2006-01-01
"5210",2007,"Rondonia","October",2.023,2007-01-01
"5211",2008,"Rondonia","October",1.482,2008-01-01
"5212",2009,"Rondonia","October",1.444,2009-01-01
"5213",2010,"Rondonia","October",1.307,2010-01-01
"5214",2011,"Rondonia","October",822,2011-01-01
"5215",2012,"Rondonia","October",1.229,2012-01-01
"5216",2013,"Rondonia","October",555,2013-01-01
"5217",2014,"Rondonia","October",1.063,2014-01-01
"5218",2015,"Rondonia","October",2.598,2015-01-01
"5219",2016,"Rondonia","October",1.844,2016-01-01
"5220",2017,"Rondonia","October",2.19,2017-01-01
"5221",1998,"Rondonia","November",3,1998-01-01
"5222",1999,"Rondonia","November",41,1999-01-01
"5223",2000,"Rondonia","November",13,2000-01-01
"5224",2001,"Rondonia","November",91,2001-01-01
"5225",2002,"Rondonia","November",639,2002-01-01
"5226",2003,"Rondonia","November",526,2003-01-01
"5227",2004,"Rondonia","November",452,2004-01-01
"5228",2005,"Rondonia","November",465,2005-01-01
"5229",2006,"Rondonia","November",253,2006-01-01
"5230",2007,"Rondonia","November",53,2007-01-01
"5231",2008,"Rondonia","November",78,2008-01-01
"5232",2009,"Rondonia","November",128,2009-01-01
"5233",2010,"Rondonia","November",238,2010-01-01
"5234",2011,"Rondonia","November",245,2011-01-01
"5235",2012,"Rondonia","November",174,2012-01-01
"5236",2013,"Rondonia","November",108,2013-01-01
"5237",2014,"Rondonia","November",202,2014-01-01
"5238",2015,"Rondonia","November",1.002,2015-01-01
"5239",2016,"Rondonia","November",401,2016-01-01
"5240",2017,"Rondonia","November",372,2017-01-01
"5241",1998,"Rondonia","December",33,1998-01-01
"5242",1999,"Rondonia","December",0,1999-01-01
"5243",2000,"Rondonia","December",7,2000-01-01
"5244",2001,"Rondonia","December",1,2001-01-01
"5245",2002,"Rondonia","December",91,2002-01-01
"5246",2003,"Rondonia","December",214,2003-01-01
"5247",2004,"Rondonia","December",208,2004-01-01
"5248",2005,"Rondonia","December",36,2005-01-01
"5249",2006,"Rondonia","December",4,2006-01-01
"5250",2007,"Rondonia","December",6,2007-01-01
"5251",2008,"Rondonia","December",2,2008-01-01
"5252",2009,"Rondonia","December",9,2009-01-01
"5253",2010,"Rondonia","December",158,2010-01-01
"5254",2011,"Rondonia","December",37,2011-01-01
"5255",2012,"Rondonia","December",50,2012-01-01
"5256",2013,"Rondonia","December",143,2013-01-01
"5257",2014,"Rondonia","December",144,2014-01-01
"5258",2015,"Rondonia","December",282,2015-01-01
"5259",2016,"Rondonia","December",148,2016-01-01
"5260",1998,"Roraima","January",0,1998-01-01
"5261",1999,"Roraima","January",15,1999-01-01
"5262",2000,"Roraima","January",18,2000-01-01
"5263",2001,"Roraima","January",101,2001-01-01
"5264",2002,"Roraima","January",302,2002-01-01
"5265",2003,"Roraima","January",547,2003-01-01
"5266",2004,"Roraima","January",355,2004-01-01
"5267",2005,"Roraima","January",106,2005-01-01
"5268",2006,"Roraima","January",70,2006-01-01
"5269",2007,"Roraima","January",194,2007-01-01
"5270",2008,"Roraima","January",245,2008-01-01
"5271",2009,"Roraima","January",45,2009-01-01
"5272",2010,"Roraima","January",351,2010-01-01
"5273",2011,"Roraima","January",225,2011-01-01
"5274",2012,"Roraima","January",217,2012-01-01
"5275",2013,"Roraima","January",397,2013-01-01
"5276",2014,"Roraima","January",355,2014-01-01
"5277",2015,"Roraima","January",330,2015-01-01
"5278",2016,"Roraima","January",1.754,2016-01-01
"5279",2017,"Roraima","January",108,2017-01-01
"5280",1998,"Roraima","February",0,1998-01-01
"5281",1999,"Roraima","February",20,1999-01-01
"5282",2000,"Roraima","February",57,2000-01-01
"5283",2001,"Roraima","February",646,2001-01-01
"5284",2002,"Roraima","February",476,2002-01-01
"5285",2003,"Roraima","February",767,2003-01-01
"5286",2004,"Roraima","February",259,2004-01-01
"5287",2005,"Roraima","February",105,2005-01-01
"5288",2006,"Roraima","February",283,2006-01-01
"5289",2007,"Roraima","February",796,2007-01-01
"5290",2008,"Roraima","February",138,2008-01-01
"5291",2009,"Roraima","February",153,2009-01-01
"5292",2010,"Roraima","February",470,2010-01-01
"5293",2011,"Roraima","February",112,2011-01-01
"5294",2012,"Roraima","February",130,2012-01-01
"5295",2013,"Roraima","February",62,2013-01-01
"5296",2014,"Roraima","February",226,2014-01-01
"5297",2015,"Roraima","February",418,2015-01-01
"5298",2016,"Roraima","February",171,2016-01-01
"5299",2017,"Roraima","February",129,2017-01-01
"5300",1998,"Roraima","March",0,1998-01-01
"5301",1999,"Roraima","March",98,1999-01-01
"5302",2000,"Roraima","March",125,2000-01-01
"5303",2001,"Roraima","March",1.108,2001-01-01
"5304",2002,"Roraima","March",820,2002-01-01
"5305",2003,"Roraima","March",1.131,2003-01-01
"5306",2004,"Roraima","March",276,2004-01-01
"5307",2005,"Roraima","March",244,2005-01-01
"5308",2006,"Roraima","March",385,2006-01-01
"5309",2007,"Roraima","March",665,2007-01-01
"5310",2008,"Roraima","March",422,2008-01-01
"5311",2009,"Roraima","March",176,2009-01-01
"5312",2010,"Roraima","March",417,2010-01-01
"5313",2011,"Roraima","March",91,2011-01-01
"5314",2012,"Roraima","March",99,2012-01-01
"5315",2013,"Roraima","March",179,2013-01-01
"5316",2014,"Roraima","March",494,2014-01-01
"5317",2015,"Roraima","March",163,2015-01-01
"5318",2016,"Roraima","March",1.081,2016-01-01
"5319",2017,"Roraima","March",216,2017-01-01
"5320",1998,"Roraima","April",0,1998-01-01
"5321",1999,"Roraima","April",16,1999-01-01
"5322",2000,"Roraima","April",0,2000-01-01
"5323",2001,"Roraima","April",380,2001-01-01
"5324",2002,"Roraima","April",41,2002-01-01
"5325",2003,"Roraima","April",268,2003-01-01
"5326",2004,"Roraima","April",182,2004-01-01
"5327",2005,"Roraima","April",22,2005-01-01
"5328",2006,"Roraima","April",201,2006-01-01
"5329",2007,"Roraima","April",58,2007-01-01
"5330",2008,"Roraima","April",175,2008-01-01
"5331",2009,"Roraima","April",115,2009-01-01
"5332",2010,"Roraima","April",15,2010-01-01
"5333",2011,"Roraima","April",108,2011-01-01
"5334",2012,"Roraima","April",25,2012-01-01
"5335",2013,"Roraima","April",87,2013-01-01
"5336",2014,"Roraima","April",162,2014-01-01
"5337",2015,"Roraima","April",278,2015-01-01
"5338",2016,"Roraima","April",126,2016-01-01
"5339",2017,"Roraima","April",51,2017-01-01
"5340",1998,"Roraima","May",0,1998-01-01
"5341",1999,"Roraima","May",0,1999-01-01
"5342",2000,"Roraima","May",7,2000-01-01
"5343",2001,"Roraima","May",9,2001-01-01
"5344",2002,"Roraima","May",0,2002-01-01
"5345",2003,"Roraima","May",0,2003-01-01
"5346",2004,"Roraima","May",2,2004-01-01
"5347",2005,"Roraima","May",1,2005-01-01
"5348",2006,"Roraima","May",0,2006-01-01
"5349",2007,"Roraima","May",0,2007-01-01
"5350",2008,"Roraima","May",8,2008-01-01
"5351",2009,"Roraima","May",219,2009-01-01
"5352",2010,"Roraima","May",3,2010-01-01
"5353",2011,"Roraima","May",4,2011-01-01
"5354",2012,"Roraima","May",18,2012-01-01
"5355",2013,"Roraima","May",4,2013-01-01
"5356",2014,"Roraima","May",58,2014-01-01
"5357",2015,"Roraima","May",12,2015-01-01
"5358",2016,"Roraima","May",22,2016-01-01
"5359",2017,"Roraima","May",29,2017-01-01
"5360",1998,"Roraima","June",0,1998-01-01
"5361",1999,"Roraima","June",3,1999-01-01
"5362",2000,"Roraima","June",0,2000-01-01
"5363",2001,"Roraima","June",1,2001-01-01
"5364",2002,"Roraima","June",0,2002-01-01
"5365",2003,"Roraima","June",0,2003-01-01
"5366",2004,"Roraima","June",6,2004-01-01
"5367",2005,"Roraima","June",5,2005-01-01
"5368",2006,"Roraima","June",0,2006-01-01
"5369",2007,"Roraima","June",1,2007-01-01
"5370",2008,"Roraima","June",0,2008-01-01
"5371",2009,"Roraima","June",16,2009-01-01
"5372",2010,"Roraima","June",0,2010-01-01
"5373",2011,"Roraima","June",6,2011-01-01
"5374",2012,"Roraima","June",22,2012-01-01
"5375",2013,"Roraima","June",6,2013-01-01
"5376",2014,"Roraima","June",4,2014-01-01
"5377",2015,"Roraima","June",3,2015-01-01
"5378",2016,"Roraima","June",7,2016-01-01
"5379",2017,"Roraima","June",4,2017-01-01
"5380",1998,"Roraima","July",1,1998-01-01
"5381",1999,"Roraima","July",4,1999-01-01
"5382",2000,"Roraima","July",0,2000-01-01
"5383",2001,"Roraima","July",1,2001-01-01
"5384",2002,"Roraima","July",7,2002-01-01
"5385",2003,"Roraima","July",0,2003-01-01
"5386",2004,"Roraima","July",2,2004-01-01
"5387",2005,"Roraima","July",2,2005-01-01
"5388",2006,"Roraima","July",0,2006-01-01
"5389",2007,"Roraima","July",3,2007-01-01
"5390",2008,"Roraima","July",0,2008-01-01
"5391",2009,"Roraima","July",18,2009-01-01
"5392",2010,"Roraima","July",1,2010-01-01
"5393",2011,"Roraima","July",9,2011-01-01
"5394",2012,"Roraima","July",2,2012-01-01
"5395",2013,"Roraima","July",4,2013-01-01
"5396",2014,"Roraima","July",9,2014-01-01
"5397",2015,"Roraima","July",5,2015-01-01
"5398",2016,"Roraima","July",0,2016-01-01
"5399",2017,"Roraima","July",3,2017-01-01
"5400",1998,"Roraima","August",0,1998-01-01
"5401",1999,"Roraima","August",1,1999-01-01
"5402",2000,"Roraima","August",9,2000-01-01
"5403",2001,"Roraima","August",4,2001-01-01
"5404",2002,"Roraima","August",7,2002-01-01
"5405",2003,"Roraima","August",2,2003-01-01
"5406",2004,"Roraima","August",18,2004-01-01
"5407",2005,"Roraima","August",9,2005-01-01
"5408",2006,"Roraima","August",4,2006-01-01
"5409",2007,"Roraima","August",2,2007-01-01
"5410",2008,"Roraima","August",4,2008-01-01
"5411",2009,"Roraima","August",29,2009-01-01
"5412",2010,"Roraima","August",3,2010-01-01
"5413",2011,"Roraima","August",39,2011-01-01
"5414",2012,"Roraima","August",4,2012-01-01
"5415",2013,"Roraima","August",3,2013-01-01
"5416",2014,"Roraima","August",12,2014-01-01
"5417",2015,"Roraima","August",11,2015-01-01
"5418",2016,"Roraima","August",11,2016-01-01
"5419",2017,"Roraima","August",35,2017-01-01
"5420",1998,"Roraima","September",2,1998-01-01
"5421",1999,"Roraima","September",3,1999-01-01
"5422",2000,"Roraima","September",12,2000-01-01
"5423",2001,"Roraima","September",1,2001-01-01
"5424",2002,"Roraima","September",48,2002-01-01
"5425",2003,"Roraima","September",6,2003-01-01
"5426",2004,"Roraima","September",9,2004-01-01
"5427",2005,"Roraima","September",72,2005-01-01
"5428",2006,"Roraima","September",40,2006-01-01
"5429",2007,"Roraima","September",9,2007-01-01
"5430",2008,"Roraima","September",17,2008-01-01
"5431",2009,"Roraima","September",117,2009-01-01
"5432",2010,"Roraima","September",18,2010-01-01
"5433",2011,"Roraima","September",53,2011-01-01
"5434",2012,"Roraima","September",67,2012-01-01
"5435",2013,"Roraima","September",18,2013-01-01
"5436",2014,"Roraima","September",67,2014-01-01
"5437",2015,"Roraima","September",77,2015-01-01
"5438",2016,"Roraima","September",19,2016-01-01
"5439",2017,"Roraima","September",43,2017-01-01
"5440",1998,"Roraima","October",1,1998-01-01
"5441",1999,"Roraima","October",10,1999-01-01
"5442",2000,"Roraima","October",25,2000-01-01
"5443",2001,"Roraima","October",13,2001-01-01
"5444",2002,"Roraima","October",191,2002-01-01
"5445",2003,"Roraima","October",14,2003-01-01
"5446",2004,"Roraima","October",53,2004-01-01
"5447",2005,"Roraima","October",88,2005-01-01
"5448",2006,"Roraima","October",135,2006-01-01
"5449",2007,"Roraima","October",15,2007-01-01
"5450",2008,"Roraima","October",78,2008-01-01
"5451",2009,"Roraima","October",197,2009-01-01
"5452",2010,"Roraima","October",64,2010-01-01
"5453",2011,"Roraima","October",65,2011-01-01
"5454",2012,"Roraima","October",152,2012-01-01
"5455",2013,"Roraima","October",63,2013-01-01
"5456",2014,"Roraima","October",61,2014-01-01
"5457",2015,"Roraima","October",181,2015-01-01
"5458",2016,"Roraima","October",101,2016-01-01
"5459",2017,"Roraima","October",156,2017-01-01
"5460",1998,"Roraima","November",1,1998-01-01
"5461",1999,"Roraima","November",15,1999-01-01
"5462",2000,"Roraima","November",32,2000-01-01
"5463",2001,"Roraima","November",76,2001-01-01
"5464",2002,"Roraima","November",133,2002-01-01
"5465",2003,"Roraima","November",27,2003-01-01
"5466",2004,"Roraima","November",135,2004-01-01
"5467",2005,"Roraima","November",135,2005-01-01
"5468",2006,"Roraima","November",26,2006-01-01
"5469",2007,"Roraima","November",112,2007-01-01
"5470",2008,"Roraima","November",39,2008-01-01
"5471",2009,"Roraima","November",312,2009-01-01
"5472",2010,"Roraima","November",27,2010-01-01
"5473",2011,"Roraima","November",121,2011-01-01
"5474",2012,"Roraima","November",187,2012-01-01
"5475",2013,"Roraima","November",106,2013-01-01
"5476",2014,"Roraima","November",143,2014-01-01
"5477",2015,"Roraima","November",280,2015-01-01
"5478",2016,"Roraima","November",71,2016-01-01
"5479",2017,"Roraima","November",327,2017-01-01
"5480",1998,"Roraima","December",16,1998-01-01
"5481",1999,"Roraima","December",35,1999-01-01
"5482",2000,"Roraima","December",77,2000-01-01
"5483",2001,"Roraima","December",76,2001-01-01
"5484",2002,"Roraima","December",199,2002-01-01
"5485",2003,"Roraima","December",157,2003-01-01
"5486",2004,"Roraima","December",160,2004-01-01
"5487",2005,"Roraima","December",71,2005-01-01
"5488",2006,"Roraima","December",101,2006-01-01
"5489",2007,"Roraima","December",8,2007-01-01
"5490",2008,"Roraima","December",5,2008-01-01
"5491",2009,"Roraima","December",290,2009-01-01
"5492",2010,"Roraima","December",73,2010-01-01
"5493",2011,"Roraima","December",249,2011-01-01
"5494",2012,"Roraima","December",78,2012-01-01
"5495",2013,"Roraima","December",65,2013-01-01
"5496",2014,"Roraima","December",277,2014-01-01
"5497",2015,"Roraima","December",304,2015-01-01
"5498",2016,"Roraima","December",136,2016-01-01
"5499",1998,"Santa Catarina","January",0,1998-01-01
"5500",1999,"Santa Catarina","January",11,1999-01-01
"5501",2000,"Santa Catarina","January",14,2000-01-01
"5502",2001,"Santa Catarina","January",11,2001-01-01
"5503",2002,"Santa Catarina","January",22,2002-01-01
"5504",2003,"Santa Catarina","January",45,2003-01-01
"5505",2004,"Santa Catarina","January",37,2004-01-01
"5506",2005,"Santa Catarina","January",46,2005-01-01
"5507",2006,"Santa Catarina","January",41,2006-01-01
"5508",2007,"Santa Catarina","January",9,2007-01-01
"5509",2008,"Santa Catarina","January",25,2008-01-01
"5510",2009,"Santa Catarina","January",21,2009-01-01
"5511",2010,"Santa Catarina","January",2,2010-01-01
"5512",2011,"Santa Catarina","January",9,2011-01-01
"5513",2012,"Santa Catarina","January",14,2012-01-01
"5514",2013,"Santa Catarina","January",18,2013-01-01
"5515",2014,"Santa Catarina","January",58,2014-01-01
"5516",2015,"Santa Catarina","January",28,2015-01-01
"5517",2016,"Santa Catarina","January",53,2016-01-01
"5518",2017,"Santa Catarina","January",46,2017-01-01
"5519",1998,"Santa Catarina","February",0,1998-01-01
"5520",1999,"Santa Catarina","February",2,1999-01-01
"5521",2000,"Santa Catarina","February",8,2000-01-01
"5522",2001,"Santa Catarina","February",0,2001-01-01
"5523",2002,"Santa Catarina","February",5,2002-01-01
"5524",2003,"Santa Catarina","February",43,2003-01-01
"5525",2004,"Santa Catarina","February",29,2004-01-01
"5526",2005,"Santa Catarina","February",46,2005-01-01
"5527",2006,"Santa Catarina","February",18,2006-01-01
"5528",2007,"Santa Catarina","February",14,2007-01-01
"5529",2008,"Santa Catarina","February",29,2008-01-01
"5530",2009,"Santa Catarina","February",7,2009-01-01
"5531",2010,"Santa Catarina","February",15,2010-01-01
"5532",2011,"Santa Catarina","February",1,2011-01-01
"5533",2012,"Santa Catarina","February",13,2012-01-01
"5534",2013,"Santa Catarina","February",12,2013-01-01
"5535",2014,"Santa Catarina","February",27,2014-01-01
"5536",2015,"Santa Catarina","February",23,2015-01-01
"5537",2016,"Santa Catarina","February",10,2016-01-01
"5538",2017,"Santa Catarina","February",31,2017-01-01
"5539",1998,"Santa Catarina","March",0,1998-01-01
"5540",1999,"Santa Catarina","March",7,1999-01-01
"5541",2000,"Santa Catarina","March",46,2000-01-01
"5542",2001,"Santa Catarina","March",1,2001-01-01
"5543",2002,"Santa Catarina","March",12,2002-01-01
"5544",2003,"Santa Catarina","March",58,2003-01-01
"5545",2004,"Santa Catarina","March",73,2004-01-01
"5546",2005,"Santa Catarina","March",92,2005-01-01
"5547",2006,"Santa Catarina","March",48,2006-01-01
"5548",2007,"Santa Catarina","March",23,2007-01-01
"5549",2008,"Santa Catarina","March",14,2008-01-01
"5550",2009,"Santa Catarina","March",33,2009-01-01
"5551",2010,"Santa Catarina","March",9,2010-01-01
"5552",2011,"Santa Catarina","March",8,2011-01-01
"5553",2012,"Santa Catarina","March",65,2012-01-01
"5554",2013,"Santa Catarina","March",14,2013-01-01
"5555",2014,"Santa Catarina","March",15,2014-01-01
"5556",2015,"Santa Catarina","March",37,2015-01-01
"5557",2016,"Santa Catarina","March",21,2016-01-01
"5558",2017,"Santa Catarina","March",12,2017-01-01
"5559",1998,"Santa Catarina","April",0,1998-01-01
"5560",1999,"Santa Catarina","April",0,1999-01-01
"5561",2000,"Santa Catarina","April",7,2000-01-01
"5562",2001,"Santa Catarina","April",1,2001-01-01
"5563",2002,"Santa Catarina","April",7,2002-01-01
"5564",2003,"Santa Catarina","April",120,2003-01-01
"5565",2004,"Santa Catarina","April",59,2004-01-01
"5566",2005,"Santa Catarina","April",25,2005-01-01
"5567",2006,"Santa Catarina","April",30,2006-01-01
"5568",2007,"Santa Catarina","April",2,2007-01-01
"5569",2008,"Santa Catarina","April",31,2008-01-01
"5570",2009,"Santa Catarina","April",57,2009-01-01
"5571",2010,"Santa Catarina","April",19,2010-01-01
"5572",2011,"Santa Catarina","April",5,2011-01-01
"5573",2012,"Santa Catarina","April",40,2012-01-01
"5574",2013,"Santa Catarina","April",46,2013-01-01
"5575",2014,"Santa Catarina","April",34,2014-01-01
"5576",2015,"Santa Catarina","April",32,2015-01-01
"5577",2016,"Santa Catarina","April",36,2016-01-01
"5578",2017,"Santa Catarina","April",26,2017-01-01
"5579",1998,"Santa Catarina","May",0,1998-01-01
"5580",1999,"Santa Catarina","May",1,1999-01-01
"5581",2000,"Santa Catarina","May",0,2000-01-01
"5582",2001,"Santa Catarina","May",2,2001-01-01
"5583",2002,"Santa Catarina","May",3,2002-01-01
"5584",2003,"Santa Catarina","May",84,2003-01-01
"5585",2004,"Santa Catarina","May",2,2004-01-01
"5586",2005,"Santa Catarina","May",21,2005-01-01
"5587",2006,"Santa Catarina","May",33,2006-01-01
"5588",2007,"Santa Catarina","May",2,2007-01-01
"5589",2008,"Santa Catarina","May",15,2008-01-01
"5590",2009,"Santa Catarina","May",33,2009-01-01
"5591",2010,"Santa Catarina","May",1,2010-01-01
"5592",2011,"Santa Catarina","May",16,2011-01-01
"5593",2012,"Santa Catarina","May",60,2012-01-01
"5594",2013,"Santa Catarina","May",52,2013-01-01
"5595",2014,"Santa Catarina","May",42,2014-01-01
"5596",2015,"Santa Catarina","May",70,2015-01-01
"5597",2016,"Santa Catarina","May",26,2016-01-01
"5598",2017,"Santa Catarina","May",36,2017-01-01
"5599",1998,"Santa Catarina","June",2,1998-01-01
"5600",1999,"Santa Catarina","June",0,1999-01-01
"5601",2000,"Santa Catarina","June",2,2000-01-01
"5602",2001,"Santa Catarina","June",1,2001-01-01
"5603",2002,"Santa Catarina","June",0,2002-01-01
"5604",2003,"Santa Catarina","June",68,2003-01-01
"5605",2004,"Santa Catarina","June",127,2004-01-01
"5606",2005,"Santa Catarina","June",58,2005-01-01
"5607",2006,"Santa Catarina","June",32,2006-01-01
"5608",2007,"Santa Catarina","June",11,2007-01-01
"5609",2008,"Santa Catarina","June",2,2008-01-01
"5610",2009,"Santa Catarina","June",14,2009-01-01
"5611",2010,"Santa Catarina","June",1,2010-01-01
"5612",2011,"Santa Catarina","June",26,2011-01-01
"5613",2012,"Santa Catarina","June",42,2012-01-01
"5614",2013,"Santa Catarina","June",31,2013-01-01
"5615",2014,"Santa Catarina","June",3,2014-01-01
"5616",2015,"Santa Catarina","June",104,2015-01-01
"5617",2016,"Santa Catarina","June",79,2016-01-01
"5618",2017,"Santa Catarina","June",70,2017-01-01
"5619",1998,"Santa Catarina","July",0,1998-01-01
"5620",1999,"Santa Catarina","July",2,1999-01-01
"5621",2000,"Santa Catarina","July",21,2000-01-01
"5622",2001,"Santa Catarina","July",5,2001-01-01
"5623",2002,"Santa Catarina","July",82,2002-01-01
"5624",2003,"Santa Catarina","July",43,2003-01-01
"5625",2004,"Santa Catarina","July",94,2004-01-01
"5626",2005,"Santa Catarina","July",90,2005-01-01
"5627",2006,"Santa Catarina","July",74,2006-01-01
"5628",2007,"Santa Catarina","July",12,2007-01-01
"5629",2008,"Santa Catarina","July",46,2008-01-01
"5630",2009,"Santa Catarina","July",26,2009-01-01
"5631",2010,"Santa Catarina","July",31,2010-01-01
"5632",2011,"Santa Catarina","July",31,2011-01-01
"5633",2012,"Santa Catarina","July",42,2012-01-01
"5634",2013,"Santa Catarina","July",69,2013-01-01
"5635",2014,"Santa Catarina","July",82,2014-01-01
"5636",2015,"Santa Catarina","July",45,2015-01-01
"5637",2016,"Santa Catarina","July",480,2016-01-01
"5638",2017,"Santa Catarina","July",591,2017-01-01
"5639",1998,"Santa Catarina","August",0,1998-01-01
"5640",1999,"Santa Catarina","August",51,1999-01-01
"5641",2000,"Santa Catarina","August",69,2000-01-01
"5642",2001,"Santa Catarina","August",24,2001-01-01
"5643",2002,"Santa Catarina","August",702,2002-01-01
"5644",2003,"Santa Catarina","August",1.513,2003-01-01
"5645",2004,"Santa Catarina","August",728,2004-01-01
"5646",2005,"Santa Catarina","August",391,2005-01-01
"5647",2006,"Santa Catarina","August",728,2006-01-01
"5648",2007,"Santa Catarina","August",462,2007-01-01
"5649",2008,"Santa Catarina","August",51,2008-01-01
"5650",2009,"Santa Catarina","August",759,2009-01-01
"5651",2010,"Santa Catarina","August",511,2010-01-01
"5652",2011,"Santa Catarina","August",175,2011-01-01
"5653",2012,"Santa Catarina","August",398,2012-01-01
"5654",2013,"Santa Catarina","August",236,2013-01-01
"5655",2014,"Santa Catarina","August",459,2014-01-01
"5656",2015,"Santa Catarina","August",379,2015-01-01
"5657",2016,"Santa Catarina","August",765,2016-01-01
"5658",2017,"Santa Catarina","August",713,2017-01-01
"5659",1998,"Santa Catarina","September",6,1998-01-01
"5660",1999,"Santa Catarina","September",101,1999-01-01
"5661",2000,"Santa Catarina","September",36,2000-01-01
"5662",2001,"Santa Catarina","September",18,2001-01-01
"5663",2002,"Santa Catarina","September",416,2002-01-01
"5664",2003,"Santa Catarina","September",1.339,2003-01-01
"5665",2004,"Santa Catarina","September",755,2004-01-01
"5666",2005,"Santa Catarina","September",116,2005-01-01
"5667",2006,"Santa Catarina","September",530,2006-01-01
"5668",2007,"Santa Catarina","September",617,2007-01-01
"5669",2008,"Santa Catarina","September",233,2008-01-01
"5670",2009,"Santa Catarina","September",47,2009-01-01
"5671",2010,"Santa Catarina","September",198,2010-01-01
"5672",2011,"Santa Catarina","September",450,2011-01-01
"5673",2012,"Santa Catarina","September",188,2012-01-01
"5674",2013,"Santa Catarina","September",303,2013-01-01
"5675",2014,"Santa Catarina","September",208,2014-01-01
"5676",2015,"Santa Catarina","September",156,2015-01-01
"5677",2016,"Santa Catarina","September",644,2016-01-01
"5678",2017,"Santa Catarina","September",626,2017-01-01
"5679",1998,"Santa Catarina","October",4,1998-01-01
"5680",1999,"Santa Catarina","October",16,1999-01-01
"5681",2000,"Santa Catarina","October",55,2000-01-01
"5682",2001,"Santa Catarina","October",26,2001-01-01
"5683",2002,"Santa Catarina","October",42,2002-01-01
"5684",2003,"Santa Catarina","October",669,2003-01-01
"5685",2004,"Santa Catarina","October",704,2004-01-01
"5686",2005,"Santa Catarina","October",197,2005-01-01
"5687",2006,"Santa Catarina","October",269,2006-01-01
"5688",2007,"Santa Catarina","October",35,2007-01-01
"5689",2008,"Santa Catarina","October",56,2008-01-01
"5690",2009,"Santa Catarina","October",252,2009-01-01
"5691",2010,"Santa Catarina","October",76,2010-01-01
"5692",2011,"Santa Catarina","October",102,2011-01-01
"5693",2012,"Santa Catarina","October",34,2012-01-01
"5694",2013,"Santa Catarina","October",107,2013-01-01
"5695",2014,"Santa Catarina","October",122,2014-01-01
"5696",2015,"Santa Catarina","October",21,2015-01-01
"5697",2016,"Santa Catarina","October",56,2016-01-01
"5698",2017,"Santa Catarina","October",51,2017-01-01
"5699",1998,"Santa Catarina","November",21,1998-01-01
"5700",1999,"Santa Catarina","November",84,1999-01-01
"5701",2000,"Santa Catarina","November",19,2000-01-01
"5702",2001,"Santa Catarina","November",66,2001-01-01
"5703",2002,"Santa Catarina","November",348,2002-01-01
"5704",2003,"Santa Catarina","November",347,2003-01-01
"5705",2004,"Santa Catarina","November",279,2004-01-01
